schedule_id,class_code,instructor_code,room_id,day_pattern,start_time,end_time,session_part,group_size,num_weeks,sessions_per_week,hours_per_session,teaching_hours
165,MIS 446 - 01,GV_58,2,MR,14:30:00,16:30:00,Chiều,9,10,2,2,40
166,MIS 451 - 01,GV_14,2,TF,07:30:00,09:30:00,Sáng,6,7,2,2,28
167,MIS 451 - 01,GV_55,2,TF,07:30:00,09:30:00,Sáng,6,3,2,2,12
168,MIS 454 - 01,GV_56,9,MR,07:30:00,09:30:00,Sáng,2,10,2,2,40
169,MKTG 336 - 01,GV_34,1,TF,12:30:00,14:30:00,Chiều,36,10,2,2,40
170,MKTG 420 - 01,GV_66,17,MR,12:30:00,14:30:00,Chiều,44,5,2,2,20
171,MKTG 420 - 01,GV_39,17,MR,12:30:00,14:30:00,Chiều,44,5,2,2,20
172,MKTG 452 - 01,GV_66,21,MR,07:30:00,09:30:00,Sáng,43,5,2,2,20
173,MKTG 452 - 01,GV_34,21,MR,07:30:00,09:30:00,Sáng,43,5,2,2,20
174,MKTG 460 - 01,GV_64,18,MR,14:30:00,16:30:00,Chiều,14,10,2,2,40
175,MKTG 461 - 01,GV_34,15,MR,09:30:00,11:30:00,Sáng,31,5,2,2,20
176,MKTG 461 - 01,GV_66,15,MR,09:30:00,11:30:00,Sáng,31,5,2,2,20
177,MKTG 462 - 01,GV_67,8,TF,09:30:00,11:30:00,Sáng,18,10,2,2,40
178,MKTG 463 - 01,GV_67,8,TF,07:30:00,09:30:00,Sáng,8,10,2,2,40
179,MKTG 466 - 01,GV_66,34,TF,14:30:00,16:30:00,Chiều,9,5,2,2,20
180,MKTG 466 - 01,GV_39,34,TF,14:30:00,16:30:00,Chiều,9,5,2,2,20
181,MKTG 467 - 01,GV_10,30,MR,14:30:00,16:30:00,Chiều,14,10,2,2,40
182,MTH 171 - E1,GV_68,4,TF,09:30:00,11:30:00,Sáng,44,10,2,2,40
183,MTH 171 - E2,GV_69,21,MR,14:30:00,16:30:00,Chiều,41,10,2,2,40
184,MUSI 110 - V1,GV_70,6,WS,12:30:00,14:30:00,Chiều,40,10,2,2,40
185,MUSI 203 - 01,GV_70,6,WS,07:30:00,09:30:00,Sáng,40,10,2,2,40
186,MUSI 204 - 01,GV_70,6,WS,09:30:00,11:30:00,Sáng,40,10,2,2,40
187,MUSI 205 - 01,GV_70,6,WS,14:30:00,16:30:00,Chiều,39,10,2,2,40
188,PHL 255 - E1,GV_60,6,MR,12:30:00,14:30:00,Chiều,18,10,2,2,40
189,SCLM 429 - 01,GV_30,1,MR,16:30:00,18:30:00,Chiều,42,10,2,2,40
190,SCLM 439 - 01,GV_71,1,TF,16:30:00,18:30:00,Chiều,32,10,2,2,40
191,SCLM 449 - 01,GV_13,1,TF,14:30:00,16:30:00,Chiều,57,10,2,2,40
192,SCLM 450 - 01,GV_30,1,TF,09:30:00,11:30:00,Sáng,74,10,2,2,40
193,SCLM 454 - 01,GV_13,17,TF,16:30:00,18:30:00,Chiều,21,10,2,2,40
194,SCLM 459 - 01,GV_13,21,MR,09:30:00,11:30:00,Sáng,60,10,2,2,40
195,SCLM 479 - 01,GV_33,1,S,07:30:00,11:30:00,Sáng,34,10,1,4,40
196,SCLM 479 - 02,GV_72,6,MR,07:30:00,09:30:00,Sáng,15,10,2,2,40
197,SPCH 201 - 01,GV_39,36,TF,12:30:00,14:30:00,Chiều,32,10,2,2,40
198,STA 228 - 01,GV_68,18,TF,14:30:00,16:30:00,Chiều,13,10,2,2,40
199,STA 228 - 02,GV_73,16,MR,09:30:00,11:30:00,Sáng,46,10,2,2,40
200,STAT 101 - E1,GV_51,8,TF,12:30:00,14:30:00,Chiều,9,10,2,2,40
201,STAT 101 - V1,GV_74,21,TF,07:30:00,09:30:00,Sáng,71,10,2,2,40
202,STAT 202 - E1,GV_51,26,TF,09:30:00,11:30:00,Sáng,5,10,2,2,40
203,UNIV 111 - E1,GV_16,4,MR,14:30:00,16:30:00,Chiều,43,5,2,2,20
204,UNIV 111 - E1,GV_42,4,MR,14:30:00,16:30:00,Chiều,43,5,2,2,20
205,UNIV 111 - E2,GV_42,19,TF,12:30:00,14:30:00,Chiều,41,10,2,2,40
206,UNIV 112 - E1,GV_32,4,MR,12:30:00,14:30:00,Chiều,44,10,2,2,40
207,UNIV 112 - E2,GV_49,4,TF,07:30:00,09:30:00,Sáng,15,10,2,2,40
208,UNIV 226 - E1,GV_50,17,TF,14:30:00,16:30:00,Chiều,26,10,2,2,40
209,UNIV 226 - E2,GV_5,19,TF,14:30:00,16:30:00,Chiều,73,5,2,2,20
210,UNIV 226 - E2,GV_58,19,TF,14:30:00,16:30:00,Chiều,73,5,2,2,20
211,WRT 122 - E1,GV_19,19,MR,14:30:00,16:30:00,Chiều,39,5,2,2,20
212,WRT 122 - E1,GV_22,19,MR,14:30:00,16:30:00,Chiều,39,5,2,2,20
213,WRT 122 - E2,GV_19,4,TF,14:30:00,16:30:00,Chiều,50,5,2,2,20
214,WRT 122 - E2,GV_22,4,TF,14:30:00,16:30:00,Chiều,50,5,2,2,20
215,WRT 187 - E1,GV_22,21,TF,09:30:00,11:30:00,Sáng,43,10,2,2,40
216,WRT 209 - 01,GV_1,4,MR,09:30:00,11:30:00,Sáng,70,10,2,2,40
